carrier,Base system [MWh],With Bornholm [MWh],Difference [MWh]
offwind,978679925.9003956,973338089.9325254,-5341835.967870235
solar,358187135.8566793,356197120.35022557,-1990015.5064537525
coal,213248653.24760914,212559309.45715126,-689343.7904578745
onwind,183604420.17133105,191841925.23025283,8237505.058921784
hydro,87001773.97610018,87776466.95020112,774692.9741009474
gas,26464891.857030913,25580351.41678725,-884540.4402436614
