name,Baseline [MW],CO2 constrained [MW]
CH4_to_power_DK1,-0.0,-0.0
CH4_to_power_DK2,4343.82,4343.82
CH4_to_power_NO2,-0.0,-0.0
CH4_to_power_DE,198602.42,188650.27
CH4_pipeline_DK1_NO2,3000.0,3000.0
CH4_pipeline_DK1_DE,5000.0,5000.0
CH4_pipeline_DK1_DK2,1500.0,1500.0
CH4_pipeline_DK2_DE,3000.0,3000.0
