carrier,Base system [MW],With Bornholm [MW],Difference [MW]
solar,308801.3321679325,306934.62662768544,-1866.7055402470287
offwind,224549.94474273664,226631.721296851,2081.77655411436
onwind,111154.19364900001,111154.19364900001,0.0
gas,99254.52502639979,97493.28869816296,-1761.2363282368315
coal,68495.07,68495.07,0.0
hydro,27820.762183,27820.762183,0.0
