weather_year,solar,onshore_wind,offshore_wind,ocgt,battery
2020,3206.6975823285297,5414.681862426613,954.2260550662872,3423.4361451014092,60.13116197772714
2021,3115.9768777090912,6547.954544049034,247.72659455533065,3477.040566487491,104.48930832185657
2022,3626.21649013702,4748.474829046443,1132.6021939426234,3359.443996022383,120.02615030638161
2023,3976.191603114353,2967.639927951779,1834.1206880044197,3402.453504089488,123.15557738065363
2024,3951.3196708569358,2853.8860582180732,1939.9634082865869,3516.089962555832,123.363938340684
2025,3251.7757754286354,7353.195952024461,-0.0,3466.840574155889,-0.0
