weather_year,solar,onshore_wind,offshore_wind,ocgt
2020,3482.439929095085,1481.2262013637041,2712.8012657895447,3495.1783800164644
2021,3536.731786703239,1330.6891006130418,2607.2248047861167,3615.2287334929792
2022,3758.909695441077,226.91910800622506,3216.445805501725,3549.3986917530747
2023,3918.1266879702384,196.8234146654782,3129.7125603831114,3580.0953402539653
2024,3928.398935825558,-0.0,3267.36306616626,3587.5967710726745
2025,3233.724053571889,5964.716184129942,693.2376580681837,3462.686214405703
