,Annual heat demand [MWh_th],Heat pump electricity use [MWh_el]
DK1,5918319.428788524,1972773.1429295084
DK2,3699699.6234131586,1233233.2078043865
NO2,7136180.7521507265,2378726.917383575
DE,282937174.5448105,94312391.51493683
