name,mean_capacity_MW,std_capacity_MW,min_capacity_MW,max_capacity_MW
solar,3643.06,273.92,3233.72,3928.4
onshore_wind,1533.4,2259.43,-0.0,5964.72
offshore_wind,2604.46,975.13,693.24,3267.36
ocgt,3548.36,58.63,3462.69,3615.23
