cap_fraction,cap_percent,co2_cap_tCO2,system_cost,emissions_tCO2,solar_cap_MW,onshore_cap_MW,offshore_cap_MW,ocgt_cap_MW,battery_cap_MW,solar_gen_MWh,onshore_gen_MWh,offshore_gen_MWh,ocgt_gen_MWh
1.0,100.0,4774547.797740443,2169858354.7234683,4774547.797740443,2372.5818997746387,6214.696694457655,-0.0,3356.8231903053497,122.72976513303001,2255609.87552216,12203138.46958588,0.0,9218186.342172142
0.8,80.0,3819638.2381923543,2193245422.8005314,3819638.23819234,3707.645635474676,5329.35100354196,777.5170885236213,3026.014144267884,439.97373901033944,3509901.742308287,10069950.609056558,2737748.0709903445,7374549.073737686
0.6,60.0,2864728.6786442655,2323253750.818164,2864728.6786442692,4804.1824078294,6615.971724240343,964.0160002520329,2920.205886383647,650.5101968944236,4414134.607486164,10758410.528567122,2997482.232307248,5530911.805303291
0.4,40.0,1909819.1190961772,2675172411.262102,1909819.1190961783,7877.8168240550185,9238.750022459544,494.66223269523107,2603.4027955453034,2133.3754520003677,6375669.138057515,12328359.17525984,1361165.5491294581,3687274.536868859
0.2,20.0,954909.5595480886,3656150497.029682,954909.5595480914,14573.690086716171,13711.610563783608,-0.0,2062.876404780787,5245.45525180928,8511670.244800255,13455186.315789787,0.0,1843637.268434434
0.1,10.0,477454.7797740443,4892668372.300045,477454.779774047,20999.2527418987,11309.520698105214,2756.0835599455368,1488.085384821612,10564.476678826397,9062415.947447643,7777631.32592109,6069756.449835273,921818.6342172194
0.0,0.0,0.0,8200355599.582698,0.0,25709.615048726235,11046.471546558867,5764.410438381454,-0.0,41909.71357257271,8923795.9794099,5945268.799429512,8995155.700871408,0.0
